TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FG3A,TEAM FTA,TEAM Total_Wins,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.3594878048780488,17.402439024390244,2010-2011,44,17.402439024390244,21.073170731707318,44,0.7732682926829268,39.292682926829265,21.975609756097562,13.634146341463415,6.060975609756097,-0.8170731707317073
Boston Celtics,0.3614512195121951,13.646341463414634,2010-2011,56,13.646341463414634,23.109756097560975,56,0.7677682926829268,38.792682926829265,23.426829268292682,14.573170731707316,8.24390243902439,5.365853658536586
Charlotte Bobcats,0.31958536585365854,14.670731707317072,2010-2011,34,14.670731707317072,24.378048780487806,34,0.7552926829268293,40.146341463414636,21.073170731707318,14.536585365853659,6.390243902439025,-4.0
Chicago Bulls,0.3603292682926829,17.25609756097561,2010-2011,62,17.25609756097561,24.48780487804878,62,0.7420121951219512,44.15853658536585,22.28048780487805,14.158536585365853,7.219512195121951,7.317073170731708
Cleveland Cavaliers,0.3413414634146341,18.158536585365855,2010-2011,19,18.158536585365855,25.304878048780488,19,0.743219512195122,40.30487804878049,20.975609756097562,14.21951219512195,6.634146341463414,-9.012195121951219
Dallas Mavericks,0.3644268292682927,21.5609756097561,2010-2011,57,21.5609756097561,22.5609756097561,57,0.7749999999999999,41.4390243902439,23.829268292682926,13.963414634146341,6.7926829268292686,4.2317073170731705
Denver Nuggets,0.3798170731707317,20.78048780487805,2010-2011,50,20.78048780487805,29.621951219512194,50,0.7658170731707317,41.98780487804878,22.109756097560975,14.109756097560975,7.378048780487805,4.7560975609756095
Detroit Pistons,0.3700731707317073,15.317073170731707,2010-2011,30,15.317073170731707,22.609756097560975,30,0.7409268292682927,38.6219512195122,21.097560975609756,13.012195121951219,7.2560975609756095,-3.597560975609756
Golden State Warriors,0.3842926829268293,21.329268292682926,2010-2011,36,21.329268292682926,20.670731707317074,36,0.754890243902439,40.548780487804876,22.524390243902438,14.609756097560975,8.987804878048781,-2.3292682926829267
Houston Rockets,0.3663170731707317,22.475609756097562,2010-2011,43,22.475609756097562,25.402439024390244,43,0.8022682926829269,42.81707317073171,23.841463414634145,13.536585365853659,7.085365853658536,2.182926829268293
Indiana Pacers,0.34985365853658534,20.158536585365855,2010-2011,37,20.158536585365855,24.817073170731707,37,0.7782317073170731,43.548780487804876,19.646341463414632,15.390243902439025,7.121951219512195,-1.0731707317073171
Los Angeles Clippers,0.3374268292682927,18.524390243902438,2010-2011,32,18.524390243902438,26.670731707317074,32,0.7053536585365854,42.146341463414636,22.109756097560975,16.378048780487806,7.134146341463414,-3.1341463414634148
Los Angeles Lakers,0.3515609756097561,18.134146341463413,2010-2011,57,18.134146341463413,24.134146341463413,57,0.7741341463414634,43.96341463414634,21.963414634146343,13.085365853658537,7.341463414634147,6.109756097560975
Memphis Grizzlies,0.3286829268292683,11.292682926829269,2010-2011,46,11.292682926829269,24.158536585365855,46,0.7493658536585366,40.98780487804878,20.621951219512194,13.963414634146341,9.402439024390244,2.341463414634146
Miami Heat,0.36735365853658536,18.036585365853657,2010-2011,58,18.036585365853657,27.902439024390244,58,0.7670121951219513,42.146341463414636,19.98780487804878,13.926829268292684,6.634146341463414,7.463414634146342
Milwaukee Bucks,0.341780487804878,17.24390243902439,2010-2011,35,17.24390243902439,22.9390243902439,35,0.7580121951219512,40.75609756097561,18.841463414634145,13.451219512195122,7.524390243902439,-0.8414634146341463
Minnesota Timberwolves,0.37491463414634146,19.085365853658537,2010-2011,17,19.085365853658537,24.109756097560975,17,0.7709634146341463,44.40243902439025,20.121951219512194,17.048780487804876,7.219512195121951,-6.634146341463414
New Jersey Nets,0.3447195121951219,16.304878048780488,2010-2011,24,16.304878048780488,22.9390243902439,24,0.7630975609756098,40.84146341463415,21.01219512195122,14.048780487804878,5.585365853658536,-6.2439024390243905
New Orleans Hornets,0.36246341463414633,15.024390243902438,2010-2011,46,15.024390243902438,23.134146341463413,46,0.7663536585365853,40.146341463414636,20.621951219512194,13.036585365853659,7.609756097560975,0.8902439024390244
New York Knicks,0.36552439024390243,25.378048780487806,2010-2011,42,25.378048780487806,25.451219512195124,42,0.8084146341463415,40.451219512195124,21.426829268292682,13.695121951219512,7.621951219512195,0.7804878048780488
Oklahoma City Thunder,0.34929268292682925,17.109756097560975,2010-2011,55,17.109756097560975,29.28048780487805,55,0.8222439024390245,42.76829268292683,20.390243902439025,14.097560975609756,7.975609756097561,3.792682926829268
Orlando Magic,0.3613048780487805,25.646341463414632,2010-2011,52,25.646341463414632,25.621951219512194,52,0.699560975609756,43.207317073170735,19.951219512195124,14.926829268292684,6.682926829268292,5.463414634146342
Philadelphia 76ers,0.35193902439024394,15.21951219512195,2010-2011,41,15.21951219512195,22.573170731707318,41,0.772890243902439,41.80487804878049,22.695121951219512,12.963414634146341,7.573170731707317,1.5
Phoenix Suns,0.3692682926829268,22.646341463414632,2010-2011,40,22.646341463414632,23.646341463414632,40,0.7637195121951219,40.23170731707317,23.71951219512195,14.25609756097561,6.646341463414634,-0.8902439024390244
Portland Trail Blazers,0.345719512195122,18.329268292682926,2010-2011,48,18.329268292682926,22.378048780487806,48,0.7978292682926829,39.34146341463415,21.170731707317074,13.048780487804878,8.048780487804878,1.524390243902439
Sacramento Kings,0.3352317073170732,15.573170731707316,2010-2011,24,15.573170731707316,24.158536585365855,24,0.7286219512195122,43.86585365853659,20.426829268292682,16.146341463414632,7.414634146341464,-5.341463414634147
San Antonio Spurs,0.39558536585365855,21.0609756097561,2010-2011,61,21.0609756097561,24.195121951219512,61,0.761,41.853658536585364,22.390243902439025,13.426829268292684,7.341463414634147,5.7073170731707314
Toronto Raptors,0.30841463414634146,13.304878048780488,2010-2011,22,13.304878048780488,24.097560975609756,22,0.7534878048780488,40.31707317073171,21.890243902439025,14.707317073170731,7.085365853658536,-6.280487804878049
