TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.3733170731707317,23.182926829268293,2012-2013,44,19.74390243902439,0.7085121951219512,40.86585365853659,24.475609756097562,14.865853658536585,8.097560975609756,0.4024390243902439
Boston Celtics,0.3600493827160494,17.160493827160494,2012-2013,41,20.962962962962962,0.7764814814814816,39.34567901234568,22.753086419753085,14.580246913580247,8.234567901234568,-0.2222222222222222
Brooklyn Nets,0.3563658536585366,21.463414634146343,2012-2013,49,23.878048780487806,0.7321463414634146,42.76829268292683,20.341463414634145,14.707317073170731,7.304878048780488,1.7804878048780488
Charlotte Bobcats,0.3338536585365854,17.0609756097561,2012-2013,21,25.121951219512194,0.7539024390243902,40.31707317073171,19.353658536585368,14.060975609756097,7.2073170731707314,-9.231707317073171
Chicago Bulls,0.3508170731707317,15.426829268292684,2012-2013,45,21.195121951219512,0.7743292682926829,43.170731707317074,23.0,14.28048780487805,7.170731707317073,0.3170731707317073
Cleveland Cavaliers,0.34402439024390247,19.28048780487805,2012-2013,24,22.26829268292683,0.7553536585365853,41.01219512195122,20.658536585365855,14.012195121951219,7.890243902439025,-4.682926829268292
Dallas Mavericks,0.36609756097560975,19.853658536585368,2012-2013,41,20.353658536585368,0.7919634146341463,41.91463414634146,23.24390243902439,13.951219512195122,7.902439024390244,-0.5975609756097561
Denver Nuggets,0.34212195121951217,18.51219512195122,2012-2013,57,26.195121951219512,0.6990243902439024,45.03658536585366,24.414634146341463,15.28048780487805,9.292682926829269,5.085365853658536
Detroit Pistons,0.35342682926829266,17.5609756097561,2012-2013,29,22.804878048780488,0.7015731707317072,42.1219512195122,21.24390243902439,15.134146341463415,7.0,-3.9878048780487805
Golden State Warriors,0.40010975609756094,19.902439024390244,2012-2013,47,21.26829268292683,0.7926341463414633,44.951219512195124,22.5,15.073170731707316,6.914634146341464,0.8902439024390244
Houston Rockets,0.3658170731707317,28.890243902439025,2012-2013,45,25.451219512195124,0.7551219512195122,43.426829268292686,23.195121951219512,16.4390243902439,8.28048780487805,3.475609756097561
Indiana Pacers,0.3492345679012346,19.74074074074074,2012-2013,49,23.641975308641975,0.749567901234568,45.851851851851855,20.308641975308642,15.148148148148149,7.160493827160494,4.0246913580246915
