TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3509756097560976,37.0,2018-2019,29
Boston Celtics,0.3630121951219512,34.5,2018-2019,49
Brooklyn Nets,0.3527804878048781,36.15853658536585,2018-2019,42
Charlotte Hornets,0.3512073170731707,33.9390243902439,2018-2019,39
Chicago Bulls,0.34918292682926827,25.890243902439025,2018-2019,22
Cleveland Cavaliers,0.3520243902439024,29.121951219512194,2018-2019,19
Dallas Mavericks,0.3414512195121951,36.609756097560975,2018-2019,33
Denver Nuggets,0.3497073170731707,31.353658536585368,2018-2019,54
Detroit Pistons,0.345780487804878,34.80487804878049,2018-2019,41
Golden State Warriors,0.3845,34.4390243902439,2018-2019,57
Houston Rockets,0.35363414634146345,45.3780487804878,2018-2019,53
Indiana Pacers,0.3723658536585366,25.378048780487806,2018-2019,48
LA Clippers,0.38753658536585367,25.829268292682926,2018-2019,48
Los Angeles Lakers,0.33117073170731703,30.98780487804878,2018-2019,37
Memphis Grizzlies,0.3398292682926829,28.878048780487806,2018-2019,33
Miami Heat,0.3505731707317073,32.41463414634146,2018-2019,39
Milwaukee Bucks,0.3532439024390244,38.21951219512195,2018-2019,60
Minnesota Timberwolves,0.3553292682926829,28.74390243902439,2018-2019,36
New Orleans Pelicans,0.3440731707317073,29.865853658536587,2018-2019,33
New York Knicks,0.3391463414634146,29.524390243902438,2018-2019,17
Oklahoma City Thunder,0.35132926829268296,32.646341463414636,2018-2019,49
Orlando Magic,0.35691463414634145,32.109756097560975,2018-2019,42
Philadelphia 76ers,0.3589390243902439,30.170731707317074,2018-2019,51
Phoenix Suns,0.3275609756097561,29.26829268292683,2018-2019,19
Portland Trail Blazers,0.362109756097561,30.73170731707317,2018-2019,53
Sacramento Kings,0.37678048780487805,29.9390243902439,2018-2019,39
San Antonio Spurs,0.3966707317073171,25.25609756097561,2018-2019,48
Toronto Raptors,0.3651829268292683,33.792682926829265,2018-2019,58
Utah Jazz,0.3545,34.01219512195122,2018-2019,50
Washington Wizards,0.33919512195121954,33.30487804878049,2018-2019,32
