TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.37019444444444444,33.361111111111114,2020-2021,41,24.23611111111111,0.8134444444444444,45.625,24.125,13.23611111111111,6.986111111111111,2.3194444444444446
Boston Celtics,0.3754722222222222,36.361111111111114,2020-2021,36,20.77777777777778,0.7782916666666666,44.25,23.458333333333332,14.055555555555555,7.722222222222222,1.4583333333333333
Brooklyn Nets,0.3890277777777778,36.111111111111114,2020-2021,48,22.541666666666668,0.8035833333333333,44.43055555555556,26.791666666666668,13.541666666666666,6.722222222222222,4.5
Charlotte Hornets,0.3679722222222222,37.02777777777778,2020-2021,33,20.90277777777778,0.7547777777777778,43.763888888888886,26.84722222222222,14.847222222222221,7.847222222222222,-1.9305555555555556
Chicago Bulls,0.3655277777777778,33.97222222222222,2020-2021,31,17.47222222222222,0.7919444444444445,44.958333333333336,26.76388888888889,15.125,6.694444444444445,-0.8888888888888888
Cleveland Cavaliers,0.3367777777777778,29.73611111111111,2020-2021,22,22.416666666666668,0.742736111111111,42.75,23.833333333333332,15.472222222222221,7.763888888888889,-8.444444444444445
Dallas Mavericks,0.3595555555555556,38.111111111111114,2020-2021,42,21.166666666666668,0.7756805555555555,43.333333333333336,22.875,12.069444444444445,6.25,2.263888888888889
Denver Nuggets,0.3777916666666667,34.19444444444444,2020-2021,47,19.52777777777778,0.8077222222222222,44.44444444444444,26.84722222222222,13.5,8.083333333333334,4.930555555555555
Detroit Pistons,0.3515,32.916666666666664,2020-2021,20,23.375,0.7576111111111111,42.708333333333336,24.208333333333332,14.930555555555555,7.375,-4.472222222222222
Golden State Warriors,0.37419444444444444,38.736111111111114,2020-2021,39,21.11111111111111,0.782875,43.02777777777778,27.65277777777778,15.0,8.152777777777779,1.0555555555555556
Houston Rockets,0.33863888888888893,40.59722222222222,2020-2021,17,22.305555555555557,0.7410972222222223,42.59722222222222,23.59722222222222,14.722222222222221,7.583333333333333,-7.902777777777778
Indiana Pacers,0.36469444444444443,33.958333333333336,2020-2021,34,20.73611111111111,0.7906527777777778,42.666666666666664,27.40277777777778,13.541666666666666,8.48611111111111,-0.041666666666666664
LA Clippers,0.41255555555555556,34.69444444444444,2020-2021,47,19.26388888888889,0.8388194444444445,44.15277777777778,24.38888888888889,13.180555555555555,7.069444444444445,6.180555555555555
Los Angeles Lakers,0.3534305555555555,31.22222222222222,2020-2021,42,23.319444444444443,0.7384999999999999,44.236111111111114,24.65277777777778,15.208333333333334,7.805555555555555,2.7916666666666665
Memphis Grizzlies,0.35480555555555554,31.36111111111111,2020-2021,38,21.333333333333332,0.7770138888888889,46.47222222222222,26.916666666666668,13.291666666666666,9.097222222222221,1.0277777777777777
Miami Heat,0.35911111111111116,36.19444444444444,2020-2021,40,21.11111111111111,0.7895416666666667,41.5,26.319444444444443,14.069444444444445,7.902777777777778,0.027777777777777776
Milwaukee Bucks,0.38581944444444444,37.06944444444444,2020-2021,46,21.375,0.7607916666666666,48.125,25.47222222222222,13.819444444444445,8.125,5.888888888888889
Minnesota Timberwolves,0.3495416666666667,37.583333333333336,2020-2021,23,23.083333333333332,0.7616527777777777,43.513888888888886,25.63888888888889,14.26388888888889,8.777777777777779,-5.555555555555555
New Orleans Pelicans,0.3469027777777778,30.416666666666668,2020-2021,31,26.083333333333332,0.7271388888888889,47.40277777777778,26.0,14.61111111111111,7.569444444444445,-0.2916666666666667
New York Knicks,0.3912777777777778,30.041666666666668,2020-2021,41,20.916666666666668,0.7859166666666666,45.138888888888886,21.40277777777778,12.944444444444445,7.041666666666667,2.3055555555555554
Oklahoma City Thunder,0.33947222222222223,35.125,2020-2021,22,21.333333333333332,0.7241666666666666,45.59722222222222,22.055555555555557,16.13888888888889,7.0,-10.63888888888889
Orlando Magic,0.33902777777777776,31.77777777777778,2020-2021,21,21.430555555555557,0.7758333333333334,45.44444444444444,21.819444444444443,12.833333333333334,6.888888888888889,-9.305555555555555
Philadelphia 76ers,0.376,30.125,2020-2021,49,25.5,0.7674583333333334,45.05555555555556,23.694444444444443,14.444444444444445,9.097222222222221,5.583333333333333
Phoenix Suns,0.3773333333333333,34.583333333333336,2020-2021,51,18.708333333333332,0.8372222222222222,42.94444444444444,26.930555555555557,12.527777777777779,7.180555555555555,5.819444444444445
Portland Trail Blazers,0.38605555555555554,40.81944444444444,2020-2021,42,21.63888888888889,0.8207916666666667,44.541666666666664,21.26388888888889,11.097222222222221,6.888888888888889,1.7916666666666667
Sacramento Kings,0.36375,33.333333333333336,2020-2021,31,22.01388888888889,0.7412083333333332,41.40277777777778,25.5,13.375,7.541666666666667,-3.6805555555555554
San Antonio Spurs,0.3467777777777778,28.416666666666668,2020-2021,33,22.0,0.7930972222222222,43.861111111111114,24.430555555555557,11.402777777777779,7.013888888888889,-1.7361111111111112
Toronto Raptors,0.3676111111111111,39.31944444444444,2020-2021,27,21.333333333333332,0.8130694444444444,41.583333333333336,24.09722222222222,13.222222222222221,8.583333333333334,-0.4722222222222222
Utah Jazz,0.3877777777777778,43.02777777777778,2020-2021,52,21.47222222222222,0.7932916666666666,48.25,23.65277777777778,14.208333333333334,6.583333333333333,9.25
Washington Wizards,0.3531388888888889,29.0,2020-2021,34,26.166666666666668,0.7707361111111112,45.19444444444444,25.48611111111111,14.38888888888889,7.333333333333333,-1.8333333333333333
