SEASON_YEAR,GAME_DATE,GAME_ID,TEAM_ID,TEAM_NAME,WL,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,TOV,STL,PLUS_MINUS
2022-23,2023-04-09T00:00:00,22201230,1610612744,Golden State Warriors,W,49,0.551,16,0.875,58,47,16.0,13,56.0
2020-21,2020-12-29T00:00:00,22000051,1610612749,Milwaukee Bucks,W,51,0.569,15,0.867,45,32,17.0,14,47.0
2013-14,2013-12-16T00:00:00,21300359,1610612751,Brooklyn Nets,W,35,0.6,26,0.577,42,35,21.0,10,36.0
2013-14,2013-12-14T00:00:00,21300347,1610612757,Portland Trail Blazers,W,37,0.568,20,0.7,46,41,19.0,9,34.0
2018-19,2019-04-07T00:00:00,21801200,1610612745,Houston Rockets,W,57,0.474,21,0.762,52,34,9.0,12,36.0
2012-13,2013-02-05T00:00:00,21200718,1610612745,Houston Rockets,W,40,0.575,35,0.714,48,35,9.0,6,31.0
2013-14,2014-01-02T00:00:00,21300480,1610612757,Portland Trail Blazers,W,33,0.636,7,0.714,52,34,17.0,8,30.0
2017-18,2018-04-07T00:00:00,21701193,1610612751,Brooklyn Nets,W,55,0.436,11,0.727,46,36,15.0,11,28.0
2019-20,2020-02-08T00:00:00,21900782,1610612750,Minnesota Timberwolves,W,44,0.591,18,0.667,46,39,13.0,8,27.0
2014-15,2015-03-09T00:00:00,21400939,1610612737,Atlanta Hawks,W,36,0.556,7,0.571,33,42,13.0,8,25.0
2023-24,2024-03-23T00:00:00,22301024,1610612745,Houston Rockets,W,49,0.551,14,0.857,44,31,9.0,7,28.0
2015-16,2015-11-27T00:00:00,21500236,1610612744,Golden State Warriors,W,38,0.579,31,0.677,53,32,24.0,7,19.0
2015-16,2016-03-18T00:00:00,21501026,1610612744,Golden State Warriors,W,38,0.579,14,0.857,42,35,13.0,8,18.0
2022-23,2022-11-05T00:00:00,22200135,1610612738,Boston Celtics,W,51,0.529,12,1.0,34,30,13.0,5,15.0
2017-18,2018-02-15T00:00:00,21700865,1610612743,Denver Nuggets,W,40,0.6,20,0.8,34,37,18.0,9,11.0
2014-15,2015-03-27T00:00:00,21401081,1610612745,Houston Rockets,W,44,0.455,17,0.706,41,34,18.0,10,10.0
2015-16,2016-01-18T00:00:00,21500624,1610612746,LA Clippers,W,37,0.595,33,0.727,41,28,13.0,10,8.0
2021-22,2021-12-03T00:00:00,22100339,1610612762,Utah Jazz,W,51,0.529,23,0.87,44,26,20.0,3,7.0
2010-11,2010-11-14T00:00:00,21000143,1610612756,Phoenix Suns,W,40,0.55,19,0.684,32,31,12.0,11,5.0
2016-17,2017-03-03T00:00:00,21600913,1610612739,Cleveland Cavaliers,W,46,0.543,20,0.8,33,31,14.0,7,5.0
2011-12,2012-01-11T00:00:00,21100150,1610612751,New Jersey Nets,L,35,0.571,12,0.75,29,31,17.0,6,-8.0
2011-12,2012-03-14T00:00:00,21100628,1610612752,New York Knicks,W,38,0.5,26,0.615,42,35,20.0,12,42.0
2019-20,2019-11-30T00:00:00,21900282,1610612745,Houston Rockets,W,51,0.49,34,0.853,52,30,15.0,9,47.0
2012-13,2012-12-23T00:00:00,21200402,1610612759,San Antonio Spurs,W,30,0.667,19,0.789,41,33,17.0,17,38.0
2019-20,2020-02-20T00:00:00,21900825,1610612745,Houston Rockets,W,49,0.51,22,0.909,36,31,16.0,14,30.0
2020-21,2021-02-01T00:00:00,22000318,1610612745,Houston Rockets,W,52,0.538,11,0.909,50,30,13.0,8,30.0
2019-20,2020-08-01T00:00:00,21901241,1610612746,LA Clippers,W,47,0.532,35,0.771,48,23,10.0,10,23.0
2018-19,2019-04-02T00:00:00,21801163,1610612745,Houston Rockets,W,61,0.426,17,0.706,43,30,7.0,8,25.0
2016-17,2017-02-13T00:00:00,21600827,1610612743,Denver Nuggets,W,41,0.585,16,0.75,52,34,22.0,6,22.0
2016-17,2016-12-16T00:00:00,21600395,1610612745,Houston Rockets,W,61,0.393,19,0.737,57,27,14.0,7,22.0
2012-13,2013-04-09T00:00:00,21201156,1610612752,New York Knicks,W,36,0.556,14,0.714,39,26,13.0,7,21.0
2020-21,2021-02-22T00:00:00,22000478,1610612762,Utah Jazz,W,55,0.509,17,0.824,45,34,23.0,7,22.0
2018-19,2018-12-19T00:00:00,21800461,1610612745,Houston Rockets,W,55,0.473,21,0.762,41,30,17.0,8,18.0
2023-24,2024-04-09T00:00:00,22301155,1610612744,Golden State Warriors,W,41,0.634,21,0.667,42,37,15.0,3,14.0
2021-22,2021-11-10T00:00:00,22100161,1610612749,Milwaukee Bucks,W,50,0.52,9,0.667,50,29,15.0,4,12.0
2011-12,2012-04-17T00:00:00,21100915,1610612752,New York Knicks,W,32,0.594,17,0.882,36,28,16.0,6,8.0
2010-11,2011-03-11T00:00:00,21000975,1610612744,Golden State Warriors,W,35,0.6,13,0.769,34,35,12.0,12,3.0
2023-24,2024-03-03T00:00:00,22300872,1610612738,Boston Celtics,W,49,0.51,11,0.818,51,35,8.0,10,52.0
2021-22,2022-02-15T00:00:00,22100869,1610612738,Boston Celtics,W,45,0.556,22,0.818,51,28,11.0,2,48.0
2022-23,2023-02-01T00:00:00,22200772,1610612738,Boston Celtics,W,54,0.481,10,0.7,57,28,12.0,4,43.0
2014-15,2014-11-15T00:00:00,21400133,1610612739,Cleveland Cavaliers,W,31,0.613,13,0.769,47,39,14.0,12,33.0
2014-15,2015-03-14T00:00:00,21400981,1610612744,Golden State Warriors,W,34,0.559,17,0.941,42,34,11.0,13,31.0
2023-24,2023-12-23T00:00:00,22300389,1610612738,Boston Celtics,W,53,0.472,28,0.786,51,33,10.0,4,37.0
2021-22,2021-12-08T00:00:00,22100374,1610612762,Utah Jazz,W,54,0.463,15,0.733,48,26,15.0,6,32.0
2017-18,2017-11-05T00:00:00,21700140,1610612745,Houston Rockets,W,39,0.59,21,0.857,42,26,20.0,9,27.0
2022-23,2023-02-06T00:00:00,22200814,1610612744,Golden State Warriors,W,50,0.52,7,0.429,45,43,16.0,6,27.0
2010-11,2011-03-17T00:00:00,21001015,1610612752,New York Knicks,W,36,0.556,21,0.857,35,25,10.0,5,21.0
2022-23,2023-03-01T00:00:00,22200939,1610612749,Milwaukee Bucks,W,56,0.464,19,0.789,46,29,8.0,4,22.0
2023-24,2024-01-17T00:00:00,22300575,1610612740,New Orleans Pelicans,W,47,0.532,23,0.826,50,32,13.0,11,20.0
2023-24,2024-03-29T00:00:00,22301066,1610612751,Brooklyn Nets,W,44,0.568,22,0.636,43,26,7.0,9,17.0
2022-23,2023-02-24T00:00:00,22200901,1610612744,Golden State Warriors,W,54,0.481,18,0.889,47,27,19.0,3,15.0
2014-15,2015-02-04T00:00:00,21400741,1610612744,Golden State Warriors,W,38,0.5,25,0.76,46,29,13.0,5,14.0
2023-24,2024-03-14T00:00:00,22300955,1610612738,Boston Celtics,W,50,0.5,11,0.727,33,31,10.0,12,15.0
2023-24,2023-12-11T00:00:00,22300303,1610612758,Sacramento Kings,W,45,0.556,14,0.714,43,38,13.0,4,13.0
2021-22,2021-12-06T00:00:00,22100359,1610612737,Atlanta Hawks,W,49,0.51,19,0.842,49,31,12.0,5,11.0
2023-24,2023-11-26T00:00:00,22300250,1610612751,Brooklyn Nets,W,53,0.472,15,0.733,39,29,11.0,7,9.0
2022-23,2023-02-24T00:00:00,22200902,1610612746,LA Clippers,L,45,0.578,36,0.861,42,39,25.0,8,-1.0
2023-24,2024-01-03T00:00:00,22300476,1610612753,Orlando Magic,L,44,0.568,27,0.815,39,33,21.0,10,-3.0
2017-18,2018-04-08T00:00:00,21701199,1610612765,Detroit Pistons,L,47,0.489,23,0.783,38,30,13.0,10,-13.0
2012-13,2013-02-02T00:00:00,21200697,1610612752,New York Knicks,W,43,0.442,13,0.538,52,34,17.0,8,39.0
2020-21,2021-05-08T00:00:00,22001017,1610612744,Golden State Warriors,W,54,0.5,18,0.833,46,31,19.0,5,39.0
2016-17,2016-12-14T00:00:00,21600380,1610612745,Houston Rockets,W,42,0.524,16,0.625,47,40,16.0,8,34.0
2016-17,2016-12-07T00:00:00,21600327,1610612739,Cleveland Cavaliers,W,40,0.55,31,0.839,46,23,12.0,11,32.0
2012-13,2012-12-08T00:00:00,21200284,1610612759,San Antonio Spurs,W,34,0.559,15,0.867,45,38,11.0,7,30.0
2010-11,2011-04-09T00:00:00,21001192,1610612743,Denver Nuggets,W,38,0.5,34,0.559,49,35,13.0,8,24.0
2012-13,2012-11-02T00:00:00,21200020,1610612752,New York Knicks,W,36,0.528,15,0.867,41,27,14.0,10,20.0
2013-14,2013-11-29T00:00:00,21300234,1610612745,Houston Rockets,W,32,0.594,20,0.85,41,31,16.0,9,19.0
2010-11,2010-12-28T00:00:00,21000455,1610612753,Orlando Magic,W,31,0.613,15,0.733,35,27,21.0,11,15.0
2016-17,2017-02-25T00:00:00,21600872,1610612745,Houston Rockets,W,58,0.379,42,0.762,32,32,13.0,15,12.0
2020-21,2021-02-15T00:00:00,22000426,1610612751,Brooklyn Nets,W,47,0.574,12,0.583,35,31,15.0,7,11.0
2015-16,2016-03-25T00:00:00,21501080,1610612744,Golden State Warriors,W,45,0.467,23,0.913,40,30,7.0,8,8.0
2013-14,2014-02-28T00:00:00,21300872,1610612747,Los Angeles Lakers,W,27,0.704,16,0.688,31,35,17.0,5,4.0
2018-19,2019-01-19T00:00:00,21800686,1610612745,Houston Rockets,W,68,0.368,36,0.806,39,23,12.0,9,4.0
2012-13,2013-02-23T00:00:00,21200823,1610612745,Houston Rockets,L,46,0.413,14,0.571,39,24,16.0,7,-2.0
2012-13,2013-03-09T00:00:00,21200932,1610612745,Houston Rockets,L,41,0.463,18,0.667,39,22,21.0,10,-2.0
2011-12,2012-01-27T00:00:00,21100276,1610612752,New York Knicks,L,43,0.419,14,0.786,39,20,19.0,6,-10.0
2018-19,2018-10-29T00:00:00,21800091,1610612744,Golden State Warriors,W,45,0.533,26,0.731,49,34,7.0,9,25.0
2015-16,2016-04-13T00:00:00,21501227,1610612744,Golden State Warriors,W,47,0.426,16,0.813,51,35,17.0,7,21.0
2019-20,2019-12-28T00:00:00,21900482,1610612742,Dallas Mavericks,W,51,0.471,21,1.0,46,35,13.0,11,20.0
2015-16,2015-12-28T00:00:00,21500468,1610612744,Golden State Warriors,W,42,0.476,24,0.667,59,33,18.0,12,19.0
2017-18,2018-02-13T00:00:00,21700849,1610612745,Houston Rockets,W,47,0.468,29,0.759,37,25,6.0,1,18.0
2019-20,2020-02-05T00:00:00,21900763,1610612746,LA Clippers,W,54,0.444,19,0.737,51,35,14.0,6,17.0
2017-18,2017-10-27T00:00:00,21700070,1610612745,Houston Rockets,W,57,0.386,13,0.846,51,21,16.0,5,16.0
2011-12,2012-02-08T00:00:00,21100376,1610612753,Orlando Magic,W,42,0.405,21,0.714,48,24,16.0,8,13.0
2015-16,2016-02-03T00:00:00,21500739,1610612744,Golden State Warriors,W,41,0.488,29,0.552,49,35,18.0,10,13.0
2011-12,2012-01-16T00:00:00,21100184,1610612753,Orlando Magic,W,35,0.486,22,0.591,41,21,17.0,3,9.0
2017-18,2017-12-29T00:00:00,21700525,1610612742,Dallas Mavericks,W,39,0.564,18,0.778,43,27,18.0,5,8.0
2018-19,2019-01-16T00:00:00,21800663,1610612744,Golden State Warriors,W,49,0.49,31,0.806,57,33,10.0,8,7.0
2018-19,2018-11-01T00:00:00,21800115,1610612738,Boston Celtics,W,55,0.436,13,0.846,42,30,13.0,5,4.0
2015-16,2016-01-25T00:00:00,21500674,1610612766,Charlotte Hornets,W,44,0.455,26,0.808,46,27,10.0,11,1.0
2015-16,2016-04-01T00:00:00,21501136,1610612744,Golden State Warriors,L,43,0.465,13,0.769,41,25,22.0,12,-3.0
2020-21,2021-04-03T00:00:00,22000752,1610612762,Utah Jazz,W,55,0.473,12,0.75,50,34,11.0,10,46.0
2010-11,2010-12-04T00:00:00,21000291,1610612750,Minnesota Timberwolves,W,26,0.692,18,0.833,46,30,18.0,4,34.0
2014-15,2014-11-21T00:00:00,21400180,1610612742,Dallas Mavericks,W,35,0.514,28,0.714,39,37,9.0,4,34.0
2013-14,2014-03-25T00:00:00,21301060,1610612747,Los Angeles Lakers,W,28,0.643,15,0.867,38,32,17.0,10,31.0
