TEAM_NAME,FG3A
Atlanta Hawks,20.151515151515152
Boston Celtics,14.969696969696969
Charlotte Bobcats,13.515151515151516
Chicago Bulls,16.924242424242426
Cleveland Cavaliers,19.28787878787879
Dallas Mavericks,22.181818181818183
Denver Nuggets,19.863636363636363
Detroit Pistons,13.878787878787879
Golden State Warriors,20.46969696969697
Houston Rockets,20.151515151515152
Indiana Pacers,16.12121212121212
Los Angeles Clippers,21.833333333333332
Los Angeles Lakers,16.848484848484848
Memphis Grizzlies,12.863636363636363
Miami Heat,15.606060606060606
Milwaukee Bucks,19.166666666666668
Minnesota Timberwolves,21.560606060606062
New Jersey Nets,22.439393939393938
New Orleans Hornets,11.772727272727273
New York Knicks,23.303030303030305
Oklahoma City Thunder,19.954545454545453
Orlando Magic,27.045454545454547
Philadelphia 76ers,14.590909090909092
Phoenix Suns,19.62121212121212
Portland Trail Blazers,20.939393939393938
Sacramento Kings,19.71212121212121
San Antonio Spurs,21.28787878787879
Toronto Raptors,16.28787878787879
Utah Jazz,12.803030303030303
Washington Wizards,16.28787878787879
