TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.33244776119402986,36.059701492537314,2019-2020,20
Boston Celtics,0.3658472222222222,34.541666666666664,2019-2020,48
Brooklyn Nets,0.3450972222222222,38.138888888888886,2019-2020,35
Charlotte Hornets,0.34927692307692304,34.323076923076925,2019-2020,23
Chicago Bulls,0.34796923076923075,35.10769230769231,2019-2020,22
Cleveland Cavaliers,0.34781538461538464,31.846153846153847,2019-2020,19
Dallas Mavericks,0.3668266666666667,41.266666666666666,2019-2020,43
Denver Nuggets,0.3549452054794521,30.602739726027398,2019-2020,46
Detroit Pistons,0.3682878787878788,32.68181818181818,2019-2020,20
Golden State Warriors,0.3317538461538462,31.26153846153846,2019-2020,15
Houston Rockets,0.346375,45.291666666666664,2019-2020,44
Indiana Pacers,0.3623835616438356,28.027397260273972,2019-2020,45
LA Clippers,0.36944444444444446,33.47222222222222,2019-2020,49
Los Angeles Lakers,0.3477042253521127,31.577464788732396,2019-2020,52
Memphis Grizzlies,0.3452465753424657,31.465753424657535,2019-2020,34
Miami Heat,0.38019178082191785,35.397260273972606,2019-2020,44
Milwaukee Bucks,0.35534246575342465,38.9041095890411,2019-2020,56
Minnesota Timberwolves,0.3365,39.6875,2019-2020,19
New Orleans Pelicans,0.36988888888888893,36.888888888888886,2019-2020,30
New York Knicks,0.3382727272727273,28.363636363636363,2019-2020,21
Oklahoma City Thunder,0.3538888888888889,30.15277777777778,2019-2020,44
Orlando Magic,0.3424657534246575,32.24657534246575,2019-2020,33
Philadelphia 76ers,0.3667808219178082,31.602739726027398,2019-2020,43
Phoenix Suns,0.35754794520547944,31.78082191780822,2019-2020,34
Portland Trail Blazers,0.3745135135135135,34.12162162162162,2019-2020,35
Sacramento Kings,0.3645555555555556,34.875,2019-2020,31
San Antonio Spurs,0.3745492957746479,28.464788732394368,2019-2020,32
Toronto Raptors,0.3767916666666667,36.986111111111114,2019-2020,53
Utah Jazz,0.3758194444444445,35.236111111111114,2019-2020,44
Washington Wizards,0.3684444444444444,32.56944444444444,2019-2020,25
