season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage
2020-21,Aaron Gordon,203932,-27,28.0,9.0,2.0,0.308
2020-21,Aaron Gordon,203932,-23,23.0,4.5,3.0,0.118
2020-21,Aaron Gordon,203932,-17,35.0,21.0,8.0,0.571
2020-21,Aaron Gordon,203932,-15,23.0,9.0,3.0,0.6
2020-21,Aaron Gordon,203932,-14,29.0,10.0,1.0,0.571
2020-21,Aaron Gordon,203932,-12,28.0,17.0,3.0,0.417
2020-21,Aaron Gordon,203932,-11,28.0,7.0,2.0,0.4
2020-21,Aaron Gordon,203932,-9,32.0,12.0,5.0,0.231
2020-21,Aaron Gordon,203932,-8,22.0,14.0,3.0,0.5
2020-21,Aaron Gordon,203932,-7,29.0,14.0,2.0,0.5
2020-21,Aaron Gordon,203932,-6,21.0,2.0,3.0,0.143
2020-21,Aaron Gordon,203932,-5,30.0,11.0,6.0,0.364
2020-21,Aaron Gordon,203932,-3,35.0,16.0,5.0,0.375
2020-21,Aaron Gordon,203932,-2,31.666666666666668,13.666666666666666,4.666666666666667,0.3983333333333334
2020-21,Aaron Gordon,203932,0,23.0,9.0,4.0,0.444
2020-21,Aaron Gordon,203932,1,26.0,11.0,1.5,0.528
2020-21,Aaron Gordon,203932,2,26.5,10.5,3.0,0.432
2020-21,Aaron Gordon,203932,5,36.0,38.0,4.0,0.7
2020-21,Aaron Gordon,203932,6,32.0,20.5,5.0,0.5645
2020-21,Aaron Gordon,203932,8,26.8,10.4,3.2,0.429
2020-21,Aaron Gordon,203932,9,26.333333333333332,12.333333333333334,4.0,0.4776666666666667
2020-21,Aaron Gordon,203932,10,28.5,11.5,2.5,0.518
2020-21,Aaron Gordon,203932,11,28.0,17.0,3.0,0.571
2020-21,Aaron Gordon,203932,12,31.0,15.333333333333334,3.3333333333333335,0.577
2020-21,Aaron Gordon,203932,14,33.0,12.0,7.0,0.333
2020-21,Aaron Gordon,203932,15,35.0,18.0,10.0,0.333
2020-21,Aaron Gordon,203932,16,29.0,15.0,3.0,0.5
2020-21,Aaron Gordon,203932,17,23.0,16.5,0.5,0.6970000000000001
2020-21,Aaron Gordon,203932,19,24.0,6.0,1.0,0.75
2020-21,Aaron Holiday,1628988,-15,21.0,4.0,1.0,0.25
2020-21,Aaron Holiday,1628988,-12,27.0,5.0,4.0,0.222
2020-21,Aaron Holiday,1628988,-9,24.0,3.0,1.0,0.333
2020-21,Aaron Holiday,1628988,-8,25.5,12.0,1.5,0.3035
2020-21,Aaron Holiday,1628988,-6,24.0,6.666666666666667,3.0,0.236
2020-21,Aaron Holiday,1628988,-1,27.0,15.0,2.0,0.556
2020-21,Aaron Holiday,1628988,0,25.0,0.0,1.0,0.0
2020-21,Aaron Holiday,1628988,4,21.0,4.0,5.0,0.143
2020-21,Aaron Holiday,1628988,7,22.0,11.0,6.0,0.75
2020-21,Aaron Holiday,1628988,9,26.5,18.5,4.0,0.7085
2020-21,Aaron Holiday,1628988,11,24.0,12.25,3.25,0.64525
2020-21,Aaron Holiday,1628988,12,23.0,20.0,2.0,0.5
2020-21,Aaron Holiday,1628988,14,21.0,6.0,1.0,0.6
2020-21,Aaron Holiday,1628988,15,22.0,18.0,1.0,0.636
2020-21,Aaron Holiday,1628988,19,28.0,16.0,12.0,0.375
2020-21,Aaron Holiday,1628988,22,21.0,6.0,3.0,0.5
2020-21,Aaron Holiday,1628988,23,22.0,18.0,3.0,0.636
2020-21,Aaron Nesmith,1630174,-8,26.0,10.0,0.0,0.75
2020-21,Aaron Nesmith,1630174,-7,22.0,8.0,2.0,0.3
2020-21,Aaron Nesmith,1630174,-1,22.0,9.0,1.0,0.5
2020-21,Aaron Nesmith,1630174,2,21.0,2.0,2.0,0.5
2020-21,Aaron Nesmith,1630174,3,20.0,5.0,0.0,0.667
2020-21,Aaron Nesmith,1630174,4,31.0,15.0,0.0,0.5
2020-21,Aaron Nesmith,1630174,5,22.0,0.0,0.0,0.0
2020-21,Aaron Nesmith,1630174,10,28.0,5.0,0.0,0.25
2020-21,Aaron Nesmith,1630174,11,20.0,16.0,0.0,0.857
2020-21,Aaron Nesmith,1630174,12,30.0,16.0,1.0,0.778
2020-21,Aaron Nesmith,1630174,20,24.0,9.0,0.0,0.5
2020-21,Abdel Nader,1627846,-24,29.0,6.0,2.0,0.286
2020-21,Abdel Nader,1627846,-4,23.0,8.0,1.0,0.4
2020-21,Abdel Nader,1627846,-1,20.0,14.0,1.0,0.5
2020-21,Abdel Nader,1627846,7,20.0,5.0,1.0,0.667
2020-21,Abdel Nader,1627846,9,22.0,7.0,2.0,0.25
2020-21,Abdel Nader,1627846,12,25.0,16.0,3.0,0.4
2020-21,Abdel Nader,1627846,22,24.0,14.0,0.0,0.5
2020-21,Al Horford,201143,-33,24.0,6.0,2.0,0.273
2020-21,Al Horford,201143,-21,26.5,11.5,2.5,0.343
2020-21,Al Horford,201143,-20,29.0,10.0,1.0,0.417
