season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage,performance_score
2023-24,A.J. Lawson,1630639,-18,23.0,12.0,2.0,0.385,-3.615
2023-24,A.J. Lawson,1630639,-4,21.0,2.0,2.0,0.167,0.16699999999999982
2023-24,A.J. Lawson,1630639,2,23.0,8.0,1.0,0.75,11.75
2023-24,A.J. Lawson,1630639,16,30.0,17.0,3.0,0.7,36.7
2023-24,A.J. Lawson,1630639,21,24.0,14.0,2.0,0.5,37.5
2023-24,AJ Green,1631260,-7,21.0,18.0,2.5,0.6234999999999999,14.1235
2023-24,AJ Green,1631260,1,28.0,14.0,0.0,0.5,15.5
2023-24,AJ Green,1631260,2,22.0,6.0,0.0,0.4,8.4
2023-24,AJ Green,1631260,3,21.0,10.0,0.0,0.5,13.5
2023-24,AJ Green,1631260,14,22.0,6.0,3.0,0.5,23.5
2023-24,Aaron Gordon,203932,-28,27.5,13.0,2.0,0.5625,-12.4375
2023-24,Aaron Gordon,203932,-22,34.0,7.0,3.0,0.3,-11.7
2023-24,Aaron Gordon,203932,-20,28.0,12.0,4.0,0.833,-3.1670000000000016
2023-24,Aaron Gordon,203932,-18,31.0,11.0,5.0,0.364,-1.6359999999999992
2023-24,Aaron Gordon,203932,-14,32.0,14.0,2.0,0.5,2.5
2023-24,Aaron Gordon,203932,-12,22.0,3.0,3.0,0.2,-5.8
2023-24,Aaron Gordon,203932,-11,32.0,17.0,3.0,0.615,9.614999999999998
2023-24,Aaron Gordon,203932,-9,32.0,5.0,2.0,0.1665,-1.8335
2023-24,Aaron Gordon,203932,-7,32.0,16.0,5.0,0.5,14.5
2023-24,Aaron Gordon,203932,-6,35.0,19.0,3.0,0.457,16.457
2023-24,Aaron Gordon,203932,-5,30.0,14.0,4.0,0.556,13.556000000000001
2023-24,Aaron Gordon,203932,-4,36.0,16.0,3.0,0.625,15.625
2023-24,Aaron Gordon,203932,-2,34.0,13.0,4.0,0.4963333333333333,15.496333333333332
2023-24,Aaron Gordon,203932,-1,30.0,19.0,1.0,0.889,19.889
2023-24,Aaron Gordon,203932,0,38.0,16.0,4.0,0.636,20.636
2023-24,Aaron Gordon,203932,1,34.0,14.333333333333334,3.3333333333333335,0.513,19.17966666666667
2023-24,Aaron Gordon,203932,2,39.0,20.0,5.0,0.667,27.667
2023-24,Aaron Gordon,203932,3,25.0,7.0,7.0,1.0,18.0
2023-24,Aaron Gordon,203932,4,36.0,15.0,1.0,0.438,20.438
2023-24,Aaron Gordon,203932,5,32.0,9.0,1.0,0.6,15.6
2023-24,Aaron Gordon,203932,6,33.4,17.8,2.6,0.5954,26.995400000000004
2023-24,Aaron Gordon,203932,7,39.0,16.0,7.0,0.438,30.438
2023-24,Aaron Gordon,203932,8,33.8,15.2,4.4,0.5972000000000001,28.197200000000002
2023-24,Aaron Gordon,203932,9,28.333333333333332,12.666666666666666,4.0,0.523,26.189666666666664
2023-24,Aaron Gordon,203932,10,27.0,13.0,3.0,0.625,26.625
2023-24,Aaron Gordon,203932,11,33.0,23.0,4.0,0.75,38.75
2023-24,Aaron Gordon,203932,12,32.25,12.5,2.5,0.44575,27.44575
2023-24,Aaron Gordon,203932,13,31.0,16.0,3.0,0.7,32.7
2023-24,Aaron Gordon,203932,14,30.0,12.0,2.0,0.667,28.667
2023-24,Aaron Gordon,203932,16,23.0,13.0,2.0,0.667,31.667
2023-24,Aaron Gordon,203932,17,35.0,18.0,3.5,0.6225,39.1225
2023-24,Aaron Gordon,203932,18,27.666666666666668,13.333333333333334,4.333333333333333,0.6106666666666667,36.27733333333333
2023-24,Aaron Gordon,203932,19,26.0,12.5,4.5,0.9165,36.9165
2023-24,Aaron Gordon,203932,20,24.0,17.5,4.5,0.6805,42.680499999999995
2023-24,Aaron Gordon,203932,21,32.0,17.0,2.0,0.7,40.7
2023-24,Aaron Gordon,203932,22,31.0,12.333333333333334,5.333333333333333,0.5326666666666666,40.199333333333335
2023-24,Aaron Gordon,203932,23,27.0,8.0,7.0,0.8,38.8
2023-24,Aaron Gordon,203932,25,26.0,15.0,5.0,0.667,45.667
2023-24,Aaron Gordon,203932,26,34.0,15.0,5.0,0.444,46.444
2023-24,Aaron Gordon,203932,29,24.0,10.0,0.0,0.8,39.8
2023-24,Aaron Gordon,203932,40,24.0,17.0,6.0,0.875,63.875
2023-24,Aaron Holiday,1628988,-16,35.0,9.0,5.0,0.4,-1.5999999999999996
2023-24,Aaron Holiday,1628988,-14,30.0,19.0,1.0,0.538,6.538
2023-24,Aaron Holiday,1628988,-10,20.0,8.0,5.0,1.0,4.0
2023-24,Aaron Holiday,1628988,-6,20.0,8.0,4.0,0.375,6.375
2023-24,Aaron Holiday,1628988,-5,26.0,22.0,4.0,0.615,21.615
2023-24,Aaron Holiday,1628988,-3,24.0,13.0,2.0,0.308,12.308
2023-24,Aaron Holiday,1628988,-1,20.0,7.0,3.0,0.429,9.429
2023-24,Aaron Holiday,1628988,1,22.0,18.0,2.0,0.7,21.7
2023-24,Aaron Holiday,1628988,2,26.0,8.0,0.0,0.375,10.375
2023-24,Aaron Holiday,1628988,3,20.0,11.0,0.0,0.571,14.571
2023-24,Aaron Holiday,1628988,4,29.0,12.0,2.0,0.5,18.5
2023-24,Aaron Holiday,1628988,5,27.0,12.0,5.0,0.625,22.625
2023-24,Aaron Holiday,1628988,8,27.0,15.5,2.5,0.65,26.65
2023-24,Aaron Holiday,1628988,9,23.5,15.5,1.5,0.5725,26.5725
2023-24,Aaron Holiday,1628988,10,22.0,8.0,1.0,0.333,19.333
2023-24,Aaron Holiday,1628988,12,22.0,7.0,3.0,0.5,22.5
2023-24,Aaron Holiday,1628988,15,27.5,15.0,3.5,0.5105,34.0105
2023-24,Aaron Holiday,1628988,16,21.0,13.0,1.0,1.0,31.0
2023-24,Aaron Holiday,1628988,19,20.0,7.0,6.0,0.286,32.286
2023-24,Aaron Holiday,1628988,21,23.0,11.0,4.0,0.333,36.333
2023-24,Aaron Nesmith,1630174,-23,27.0,14.0,0.0,0.417,-8.583
2023-24,Aaron Nesmith,1630174,-20,26.0,7.5,1.5,0.3275,-10.6725
2023-24,Aaron Nesmith,1630174,-17,26.0,13.0,1.0,0.333,-2.667
2023-24,Aaron Nesmith,1630174,-15,26.5,11.0,1.5,0.375,-2.125
2023-24,Aaron Nesmith,1630174,-13,20.0,9.0,3.0,0.6,-0.40000000000000036
2023-24,Aaron Nesmith,1630174,-11,27.0,4.0,0.0,0.1,-6.9
2023-24,Aaron Nesmith,1630174,-10,22.0,6.0,2.0,0.25,-1.75
2023-24,Aaron Nesmith,1630174,-9,25.0,7.666666666666667,1.0,0.35233333333333333,0.019000000000001904
2023-24,Aaron Nesmith,1630174,-8,33.0,15.0,0.0,0.625,7.625
2023-24,Aaron Nesmith,1630174,-7,27.0,6.0,3.0,0.182,2.1820000000000004
2023-24,Aaron Nesmith,1630174,-6,24.0,9.5,0.5,0.45,4.449999999999999
2023-24,Aaron Nesmith,1630174,-5,28.0,8.333333333333334,2.0,0.29133333333333333,5.624666666666668
2023-24,Aaron Nesmith,1630174,-4,31.666666666666668,10.333333333333334,1.3333333333333333,0.4666666666666666,8.133333333333335
2023-24,Aaron Nesmith,1630174,-3,41.0,26.0,7.0,0.647,30.647
2023-24,Aaron Nesmith,1630174,-2,31.333333333333332,15.333333333333334,1.6666666666666667,0.6106666666666667,15.610666666666667
2023-24,Aaron Nesmith,1630174,-1,37.0,16.0,6.0,0.545,21.545
2023-24,Aaron Nesmith,1630174,0,26.0,9.0,2.0,0.5,11.5
2023-24,Aaron Nesmith,1630174,1,26.2,12.6,0.8,0.5782,14.978200000000001
2023-24,Aaron Nesmith,1630174,2,29.4,12.8,1.4,0.47240000000000004,16.672400000000003
2023-24,Aaron Nesmith,1630174,4,24.0,17.0,1.0,0.667,22.667
2023-24,Aaron Nesmith,1630174,6,25.5,10.5,1.5,0.5445,18.5445
2023-24,Aaron Nesmith,1630174,7,33.0,22.0,3.0,0.615,32.614999999999995
2023-24,Aaron Nesmith,1630174,8,23.0,19.0,1.0,1.0,29.0
2023-24,Aaron Nesmith,1630174,9,25.0,14.0,1.5,0.5555,25.0555
2023-24,Aaron Nesmith,1630174,10,30.0,25.0,2.0,0.615,37.614999999999995
2023-24,Aaron Nesmith,1630174,12,31.0,13.0,0.0,0.417,25.417
2023-24,Aaron Nesmith,1630174,13,29.0,11.0,1.0,0.45,25.45
2023-24,Aaron Nesmith,1630174,14,32.5,16.0,1.0,0.4825,31.4825
2023-24,Aaron Nesmith,1630174,15,33.5,12.0,2.0,0.4495,29.4495
2023-24,Aaron Nesmith,1630174,16,25.5,11.0,2.0,0.479,29.479
2023-24,Aaron Nesmith,1630174,17,27.5,12.0,1.0,0.5,30.5
2023-24,Aaron Nesmith,1630174,18,25.5,17.5,1.0,0.8125,37.3125
2023-24,Aaron Nesmith,1630174,19,33.0,22.0,4.0,0.727,45.727000000000004
2023-24,Aaron Nesmith,1630174,21,28.0,16.0,3.0,0.75,40.75
2023-24,Aaron Nesmith,1630174,25,30.666666666666668,14.333333333333334,1.6666666666666667,0.5266666666666667,41.52666666666667
2023-24,Aaron Nesmith,1630174,28,25.0,11.0,0.0,0.556,39.556
2023-24,Aaron Wiggins,1630598,-30,28.0,10.0,5.0,0.364,-14.636
2023-24,Aaron Wiggins,1630598,-15,22.0,9.0,1.0,0.8,-4.199999999999999
2023-24,Aaron Wiggins,1630598,-14,25.0,16.0,1.0,0.778,3.7779999999999987
2023-24,Aaron Wiggins,1630598,-11,20.5,7.0,0.0,0.4375,-3.5625
2023-24,Aaron Wiggins,1630598,-7,21.0,13.0,2.0,0.857,8.857
2023-24,Aaron Wiggins,1630598,-2,23.0,12.5,1.0,0.6875,12.1875
2023-24,Aaron Wiggins,1630598,0,20.0,7.0,1.0,0.5,8.5
2023-24,Aaron Wiggins,1630598,3,33.333333333333336,20.333333333333332,2.6666666666666665,0.46866666666666673,26.468666666666667
2023-24,Aaron Wiggins,1630598,5,22.0,4.0,5.0,0.333,14.333
2023-24,Aaron Wiggins,1630598,14,24.0,19.0,3.0,0.667,36.667
2023-24,Aaron Wiggins,1630598,16,26.0,15.0,2.0,0.75,33.75
2023-24,Aaron Wiggins,1630598,18,21.0,7.0,0.0,0.5,25.5
2023-24,Aaron Wiggins,1630598,22,25.0,8.0,1.0,0.5,31.5
2023-24,Adama Sanogo,1641766,11,35.0,22.0,0.0,0.444,33.444
2023-24,Al Horford,201143,-26,32.0,3.0,3.0,0.2,-19.8
2023-24,Al Horford,201143,-23,26.0,3.0,3.0,0.167,-16.833
2023-24,Al Horford,201143,-9,32.0,11.0,0.0,0.8,2.8000000000000007
2023-24,Al Horford,201143,-8,38.0,13.0,6.0,0.286,11.286000000000001
2023-24,Al Horford,201143,-7,25.0,8.0,2.0,0.75,3.75
2023-24,Al Horford,201143,-5,28.0,7.5,1.5,0.6335,4.6335
2023-24,Al Horford,201143,-3,22.0,11.0,2.0,0.8,10.8
2023-24,Al Horford,201143,-2,31.0,2.0,4.0,0.333,4.333
2023-24,Al Horford,201143,0,32.0,9.0,3.0,0.333,12.333
2023-24,Al Horford,201143,1,26.666666666666668,5.333333333333333,1.0,0.3,7.633333333333333
2023-24,Al Horford,201143,2,28.0,7.2,2.2,0.495,11.895
2023-24,Al Horford,201143,3,21.5,7.0,1.0,0.381,11.381
2023-24,Al Horford,201143,4,27.0,6.0,2.0,0.4,12.4
2023-24,Al Horford,201143,5,30.0,11.0,6.0,0.571,22.571
2023-24,Al Horford,201143,7,25.75,4.0,2.5,0.275,13.775
2023-24,Al Horford,201143,8,28.333333333333332,11.666666666666666,2.6666666666666665,0.5623333333333332,22.895666666666664
2023-24,Al Horford,201143,9,27.0,14.666666666666666,2.0,0.625,26.291666666666664
2023-24,Al Horford,201143,10,33.0,12.666666666666666,4.666666666666667,0.676,28.00933333333333
